Seq,DateListed,統計日期,年度,縣市,縣市別代碼,統計項目,面積,資料筆數
351,"20240906","20231017","112","宜蘭縣","10002","其他單位","2.621","6"
352,"20240906","20231017","112","宜蘭縣","10002","所有權部總計","14758.388","36941"
353,"20240906","20231017","112","桃園市","68000","私有保留地","5387.717","24808"
354,"20240906","20231017","112","桃園市","68000","國有土地","6683.931","15224"
355,"20240906","20231017","112","桃園市","68000","省有土地","0","0"
356,"20240906","20231017","112","桃園市","68000","縣有土地","0","0"
357,"20240906","20231017","112","桃園市","68000","鄉有土地","1.89","13"
358,"20240906","20231017","112","桃園市","68000","公有土地","6685.821","15237"
359,"20240906","20231017","112","桃園市","68000","其他單位","9.017","94"
360,"20240906","20231017","112","桃園市","68000","所有權部總計","12082.555","40139"
361,"20240906","20231017","112","新竹縣","10004","私有保留地","12804.645","36798"
362,"20240906","20231017","112","新竹縣","10004","國有土地","5346.472","10196"
363,"20240906","20231017","112","新竹縣","10004","省有土地","0","0"
364,"20240906","20231017","112","新竹縣","10004","縣有土地","1.749","45"
365,"20240906","20231017","112","新竹縣","10004","鄉有土地","0.895","20"
366,"20240906","20231017","112","新竹縣","10004","公有土地","5349.116","10261"
367,"20240906","20231017","112","新竹縣","10004","其他單位","3.467","10"
368,"20240906","20231017","112","新竹縣","10004","所有權部總計","18157.228","47069"
369,"20240906","20231017","112","苗栗縣","10005","私有保留地","5444.639","20015"
370,"20240906","20231017","112","苗栗縣","10005","國有土地","3670.322","6431"
371,"20240906","20231017","112","苗栗縣","10005","省有土地","0","0"
372,"20240906","20231017","112","苗栗縣","10005","縣有土地","9.81","128"
373,"20240906","20231017","112","苗栗縣","10005","鄉有土地","0.422","16"
374,"20240906","20231017","112","苗栗縣","10005","公有土地","3680.554","6575"
375,"20240906","20231017","112","苗栗縣","10005","其他單位","6.542","24"
376,"20240906","20231017","112","苗栗縣","10005","所有權部總計","9131.735","26614"
377,"20240906","20231017","112","南投縣","10008","私有保留地","13029.693","40133"
378,"20240906","20231017","112","南投縣","10008","國有土地","18958.444","25890"
379,"20240906","20231017","112","南投縣","10008","省有土地","0","0"
380,"20240906","20231017","112","南投縣","10008","縣有土地","3.203","182"
381,"20240906","20231017","112","南投縣","10008","鄉有土地","3.664","93"
382,"20240906","20231017","112","南投縣","10008","公有土地","18965.311","26165"
383,"20240906","20231017","112","南投縣","10008","其他單位","1.674","15"
384,"20240906","20231017","112","南投縣","10008","所有權部總計","31996.678","66313"
385,"20240906","20231017","112","嘉義縣","10010","私有保留地","5004.821","9541"
386,"20240906","20231017","112","嘉義縣","10010","國有土地","1681.633","1944"
387,"20240906","20231017","112","嘉義縣","10010","省有土地","0","0"
388,"20240906","20231017","112","嘉義縣","10010","縣有土地","5.736","66"
389,"20240906","20231017","112","嘉義縣","10010","鄉有土地","0.23","16"
390,"20240906","20231017","112","嘉義縣","10010","公有土地","1687.599","2026"
391,"20240906","20231017","112","嘉義縣","10010","其他單位","2.314","29"
392,"20240906","20231017","112","嘉義縣","10010","所有權部總計","6694.734","11596"
393,"20240906","20231017","112","屏東縣","10013","私有保留地","40243.106","99003"
